Table 1
,ZIP Code,2016 Median Home Price,% Growth 2010-2016,% Growth 2015-2016,Avg. Days on Market in 2016,% Owner Occupied
Spring Branch,77055,"$325,000",107.10%,3.20%,61.6,45%
Spring East,77373,"$149,700",56.30%,7.00%,35.9,76%
Spring Northeast,77386,"$238,000",46.50%,7.40%,64.2,78%
Spring/Klein,77388,"$207,500",37.40%,3.80%,47.7,88%
Spring/Klein/Tomball,77375,"$215,000",45.30%,7.50%,55.9,65%
Stafford Area,77477,"$165,000",61.80%,17.20%,31.4,45%
Sugar Land East,77478,"$306,000",34.20%,-3.20%,39.4,82%
Sugar Land North,77498,"$216,000",44.00%,-3.00%,40.9,72%
Sugar Land South,77479,"$441,674",43.40%,-2.90%,61,84%
Sugar Land West,77407,"$320,000",28.30%,1.60%,53.1,84%
Summerwood/Lakeshore,77044,"$274,950",26.10%,3.80%,64.9,82%
Tanglewood Area,77056,"$1,643,500",75.80%,2.80%,90.3,46%
Texas City,77590,"$118,500",82.30%,27.40%,38.2,61%
The Woodlands,77380,"$346,450",21.60%,-8.80%,57.9,45%
Tiki Island,77554,"$434,000",15.70%,-4.40%,116.7,62%
Timbergrove/Lazybrook,77008,"$425,000",55.30%,4.90%,51.5,53%
Tomball,77375,"$241,000",56.10%,9.50%,65.2,65%
Treasure Island-Galveston,77541,"$245,000",-7.50%,-2.00%,97.6,68%
University Area,77021,"$151,750",204.10%,27.50%,51,40%
Upper Kirby,77098,"$809,450",19.90%,5.50%,90.8,30%
Waller,77484,"$195,000",80.10%,8.90%,54.3,75%
Washington East/Sabine,77007,"$409,000",61.70%,-1.10%,60.7,50%
Webster,77598,"$315,000",126.20%,34.00%,66.5,20%
West End-Galveston,77554,"$339,000",39.80%,8.60%,79.6,62%
West University/Southside Area,77005,"$1,192,000",55.80%,-2.60%,49.6,73%
Westchase Area,77042,"$605,750",-3.10%,-14.00%,92.2,28%
Willis/New Waverly,77318/77378,"$146,250",68.10%,4.50%,49.5,74%
Willow Meadows Area,77035,"$310,000",41.60%,-1.70%,52.9,43%
Willowbrook,77064,"$153,500",37.20%,5.90%,26.6,63%
