Neighborhood,ZIP Code,Population,Median Income,Median Age,% of Population Under 14,% Owner Occupied,% Unemployed
Memorial Villages,77024,"36,791","$114,864.00",44.5,20%,70%,4%
Memorial West,77079,"31,002","$99,650.00",41.1,21%,66%,5%
Meyerland Area,77096,"36,227","$59,556.00",36.8,21%,51%,7%
Midtown-Galveston,77550,"22,134","$31,124.00",38.4,16%,40%,11%
Midtown-Houston,77004,"34,079","$46,059.00",29,11%,33%,10%
Mission Bend Area,77083,"73,164","$52,075.00",32.5,24%,71%,7%
Missouri City Area,77459,"59,800","$107,214.00",37,23%,88%,6%
Montrose,77006,"21,144","$69,508.00",35.4,7%,36%,3%
Near West End-Galveston,77554,"8,599","$63,405.00",48.2,8%,62%,6%
North Channel,77015,"55,635","$42,942.00",28.8,27%,53%,11%
Northeast Houston,77028,"15,076","$31,440.00",38.6,22%,66%,16%
Northside,77092,"35,087","$37,383.00",32.4,23%,39%,7%
Northwest Houston,77088,"53,887","$42,447.00",32.4,26%,63%,12%
Oak Forest East Area,77018,"27,020","$65,919.00",38.5,19%,67%,4%
Oak Forest West Area,77092,"35,087","$37,383.00",32.4,23%,39%,7%
Omega Bay,77563,"9,836","$50,481.00",43.1,19%,69%,8%
Pasadena,77506,"36,225","$29,965.00",27.7,29%,40%,12%
Pearland,77581,"44,451","$86,857.00",35.8,23%,75%,4%
Plantersville Area,77363,"3,471","$41,714.00",38.9,26%,82%,9%
Porter/New Caney East,77357,"5,225","$54,224.00",41.3,18%,73%,5%
Porter/New Caney West,77365,"26,175","$59,071.00",34.1,23%,70%,8%
Rice Military/Washington Corridor,77007,"31,987","$106,044.00",34.3,10%,50%,3%
Rice/Museum District,77005,"26,187","$163,802.00",38.7,19%,73%,3%
River Oaks Area,77019,"20,350","$92,844.00",37.9,12%,49%,3%
Rivercrest,77042,"38,335","$45,403.00",31.5,19%,28%,7%
Riverside,77004,"34,079","$46,059.00",29,11%,33%,10%
Royden Oaks/Afton Oaks,77027,"15,510","$82,038.00",36.7,8%,34%,5%
Santa Fe,77510,"14,533","$57,205.00",43.8,18%,83%,11%
Sharpstown Area,77036,"72,950","$27,935.00",29.2,27%,21%,10%
Shepherd Park Plaza Area,77018,"27,020","$65,919.00",38.5,19%,67%,4%
Sienna Area,77459,"59,800","$107,214.00",37,23%,88%,6%
South Houston,77587,"17,052","$38,750.00",27.4,28%,61%,9%
Southbelt/Ellington,77034,"37,925","$44,827.00",28.2,28%,52%,8%
Spring Branch,77055,"44,249","$45,264.00",32.9,25%,45%,7%
Spring East,77373,"55,485","$67,464.00",33.2,25%,76%,7%
Spring Northeast,77386,"44,686","$84,940.00",31.5,29%,78%,4%
Spring/Klein,77388,"41,866","$82,059.00",36.8,22%,88%,5%
Spring/Klein/Tomball,77375,"43,088","$61,941.00",32,29%,65%,7%
Stafford Area,77477,"35,608","$54,913.00",33.5,20%,45%,5%
Sugar Land East,77478,"24,084","$89,295.00",45.5,17%,82%,5%
Sugar Land North,77498,"52,693","$73,383.00",34.1,22%,72%,4%
Sugar Land South,77479,"81,466","$128,362.00",38.5,22%,84%,4%
Sugar Land West,77407,"35,057","$85,045.00",32.4,28%,84%,7%
Summerwood/Lakeshore,77044,"35,696","$74,455.00",29.6,31%,82%,8%
Tanglewood Area,77056,"17,515","$92,521.00",40.8,9%,46%,5%
Texas City,77590,"30,675","$44,010.00",37.3,22%,61%,12%
The Woodlands,77380,"26,091","$68,759.00",36.6,18%,45%,5%
Tiki Island,77554,"8,599","$63,405.00",48.2,8%,62%,6%
Timbergrove/Lazybrook,77008,"31,418","$77,512.00",35.5,15%,53%,4%
Tomball,77375,"43,088","$61,941.00",32,29%,65%,7%
Treasure Island-Galveston,77541,"17,826","$42,014.00",34.8,23%,68%,9%
University Area,77021,"26,036","$32,391.00",33.7,19%,40%,13%
Upper Kirby,77098,"13,091","$82,017.00",35.4,8%,30%,5%
Waller,77484,"11,370","$64,768.00",39.3,23%,75%,4%
Washington East/Sabine,77007,"31,987","$106,044.00",34.3,10%,50%,3%
Webster,77598,"24,538","$46,161.00",29,23%,20%,7%
West End-Galveston,77554,"8,599","$63,405.00",48.2,8%,62%,6%
West University/Southside Area,77005,"26,187","$163,802.00",38.7,19%,73%,3%
Westchase Area,77042,"38,335","$45,403.00",31.5,19%,28%,7%
Willis/New Waverly,77318/77378,"13,804","$46,481.00",35.8,23%,74%,5%
Willow Meadows Area,77035,"35,989","$37,962.00",32.3,24%,43%,12%
Willowbrook,77064,"46,509","$64,234.00",33.4,22%,63%,
